stationId;name;type;status;latitude;longitude;created;operationFrom;operationTo;validFrom;validTo
9006501;Vidåslusen/Højer;Tide-gauge-primary;Active;54,9628;8,6619;2020-11-18 08:17:57.055;1990-09-05 00:00:00;n/a;1990-09-05 00:00:00.000;n/a
9006601;Ballum Sluse;Tide-gauge-primary;Active;55,1308;8,6858;2020-11-18 08:17:57.055;1990-09-05 00:00:00;n/a;1990-09-05 00:00:00.000;n/a
9006701;Ribe Kammersluse I;Tide-gauge-primary;Active;55,34;8,676;2020-11-18 08:17:57.055;1990-09-05 00:00:00;n/a;1990-09-05 00:00:00.000;n/a
9006703;Ribe Kammersluse II;Tide-gauge-secondary;Active;55,3408;8,6738;2020-11-18 08:17:57.055;2000-11-01 00:00:00;n/a;2000-11-01 00:00:00.000;n/a
9006801;Havneby Havn I;Tide-gauge-primary;Active;55,0871;8,5654;2020-11-18 08:17:57.055;1990-09-05 00:00:00;n/a;1990-09-05 00:00:00.000;n/a
9006802;Havneby Havn II;Tide-gauge-secondary;Active;55,0871;8,5654;2020-11-18 08:17:57.055;2010-02-22 00:00:00;n/a;2010-02-22 00:00:00.000;n/a
9006901;Brøns Sluse I;Tide-gauge-primary;Active;55,1863;8,6875;2020-11-18 08:17:57.055;2000-11-02 00:00:00;n/a;2000-11-02 00:00:00.000;n/a
9006902;Brøns Sluse II;Tide-gauge-secondary;Active;55,1863;8,6875;2020-11-18 08:17:57.055;2000-11-02 00:00:00;n/a;2000-11-02 00:00:00.000;n/a
9007101;Mandø I;Tide-gauge-primary;Active;55,2764;8,5739;2020-11-18 08:17:57.055;2000-11-02 00:00:00;n/a;2000-11-02 00:00:00.000;n/a
9007102;Mandø II;Tide-gauge-secondary;Active;55,2764;8,5739;2020-11-18 08:17:57.055;2000-11-02 00:00:00;n/a;2000-11-02 00:00:00.000;n/a
9010101;Haderslev Havn I;Tide-gauge-primary;Active;55,2519;9,5092;2020-11-18 08:17:57.055;2000-12-12 00:00:00;n/a;2000-12-12 00:00:00.000;n/a
9010102;Haderslev Havn II;Tide-gauge-secondary;Active;55,2519;9,5092;2020-11-18 08:17:57.055;2000-12-12 00:00:00;n/a;2000-12-12 00:00:00.000;n/a
9010201;Sønderborg Havn I;Tide-gauge-primary;Active;54,9107;9,7853;2020-11-18 08:17:57.055;2000-12-15 00:00:00;n/a;2000-12-15 00:00:00.000;n/a
9010202;Sønderborg Havn II;Tide-gauge-secondary;Active;54,9107;9,7853;2020-11-18 08:17:57.055;2000-12-15 00:00:00;n/a;2000-12-15 00:00:00.000;n/a
9020101;Bogense Havn I;Tide-gauge-primary;Active;55,5663;10,08;2020-11-18 08:17:57.055;2000-11-29 00:00:00;n/a;2000-11-29 00:00:00.000;n/a
9020102;Bogense Havn II;Tide-gauge-secondary;Active;55,5663;10,08;2020-11-18 08:17:57.055;2000-11-29 00:00:00;n/a;2000-11-29 00:00:00.000;n/a
9020201;Assens Havn I;Tide-gauge-primary;Active;55,2706;9,8897;2020-11-18 08:17:57.055;2000-11-21 00:00:00;n/a;2000-11-21 00:00:00.000;n/a
9020202;Assens Havn II;Tide-gauge-secondary;Active;55,2706;9,8897;2020-11-18 08:17:57.055;2000-11-21 00:00:00;n/a;2000-11-21 00:00:00.000;n/a
9020301;Fåborg Havn I;Tide-gauge-primary;Active;55,0934;10,2412;2020-11-18 08:17:57.055;2000-11-28 00:00:00;n/a;2000-11-28 00:00:00.000;n/a
9020302;Fåborg Havn II;Tide-gauge-secondary;Active;55,0934;10,2412;2020-11-18 08:17:57.055;2000-11-28 00:00:00;n/a;2000-11-28 00:00:00.000;n/a
9020401;Kerteminde Havn I;Tide-gauge-primary;Active;55,4508;10,6651;2020-11-18 08:17:57.055;2011-01-25 00:00:00;n/a;2011-01-25 00:00:00.000;n/a
9020402;Kerteminde Havn II;Tide-gauge-secondary;Active;55,4508;10,6651;2020-11-18 08:17:57.055;2011-01-25 00:00:00;n/a;2011-01-25 00:00:00.000;n/a
9030101;Karrebæksminde I;Tide-gauge-primary;Active;55,1766;11,6471;2020-11-18 08:17:57.055;2000-12-07 00:00:00;n/a;2000-12-07 00:00:00.000;n/a
9030102;Karrebæksminde II;Tide-gauge-secondary;Active;55,1766;11,6471;2020-11-18 08:17:57.055;2000-12-07 00:00:00;n/a;2000-12-07 00:00:00.000;n/a
9030201;Kalvehave I;Tide-gauge-primary;Active;54,995;12,1666;2020-11-18 08:17:57.055;2000-12-05 00:00:00;n/a;2000-12-05 00:00:00.000;n/a
9030202;Kalvehave II;Tide-gauge-secondary;Active;54,995;12,1666;2020-11-18 08:17:57.055;2000-12-05 00:00:00;n/a;2000-12-05 00:00:00.000;n/a
9030301;Hesnæs Havn I;Tide-gauge-primary;Active;54,8231;12,1373;2020-11-18 08:17:57.055;2004-11-01 00:00:00;n/a;2004-11-01 00:00:00.000;n/a
9030302;Hesnæs Havn II;Tide-gauge-secondary;Active;54,8231;12,1373;2020-11-18 08:17:57.055;2004-10-05 00:00:00;n/a;2004-10-05 00:00:00.000;n/a
9030401;Rønne Havn I;Tide-gauge-primary;Active;55,0932;14,6896;2020-11-18 08:17:57.055;2004-11-01 00:00:00;n/a;2004-11-01 00:00:00.000;n/a
9030402;Rønne Havn II;Tide-gauge-secondary;Active;55,0932;14,6896;2020-11-18 08:17:57.055;2004-10-18 00:00:00;n/a;2004-10-18 00:00:00.000;n/a
9030501;Bandholm Havn I;Tide-gauge-primary;Active;54,8368;11,4879;2020-11-18 08:17:57.055;2011-03-24 00:00:00;n/a;2011-03-24 00:00:00.000;n/a
9030502;Bandholm Havn II;Tide-gauge-secondary;Active;54,8368;11,4879;2020-11-18 08:17:57.055;2011-03-24 00:00:00;n/a;2011-03-24 00:00:00.000;n/a
